Auto req ID,Country,Continental Location,Division,Cost Center,Job Title,Business Unit,Internal Position Title,Salary Classification,Salary Type,Current Req Status,Recruiter GID,ePR Approved,Date Open,Written Offer Accepted,Days On Hold,Days Open,Date Closed,Date Canceled,Started/Hired,No. of Positions,Positions Remaining,Original,Job Type,Date on Hold,Date Req Posted,Salary classification for internal posting
15256BR,US,Troy,Interior,205­B883,Embedded Software Engineer,Body and Security (B&S),Senior / Staff Software Engineer TRO_147­15,2017-10-11 00:00:00,Fix,Closed,-90279580,2015-03-13,2015-03-16,2016-06-01,79.0,611,2017-02-03,,,1,0,External,Position with experience,2016-11-16,2016-05-31 00:00:00,2017-10-11 00:00:00
15256BR,US,Troy,Interior,205­B883,Embedded Software Engineer,Body and Security (B&S),Senior / Staff Software Engineer TRO_147­15,2017-10-11 00:00:00,Fix,Closed,-90279580,2015-03-13,2015-03-16,2016-11-16,79.0,611,2017-02-03,,2017-02-03,1,0,Internal,Position with experience,2016-11-16,2016-05-31 00:00:00,2017-10-11 00:00:00
18821BR,US,Somersworth,ContiTech,2301219730,Asset Accountant,Fluid,Asset Accountant,10E,Fix,Closed,-90161893,2015-05-15,2015-05-29,2017-05-03,424.0,293,2017-05-15,,2017-05-15,1,0,External,Position with experience,2016-06-17,2016-04-06 00:00:00,10E
21030BR,US,Auburn Hills North,Chassis & Safety,2364372,Algorithm Engineer,Passive Safety & Sensorics (PSS),Software Engineer,2017-09-10 00:00:00,Fix,Closed,-90008473,2015-06-25,2015-07-08,2016-12-21,196.0,387,2017-02-10,,2017-02-10,1,0,External,Position with experience,2016-07-29,2015-08-26 00:00:00,2017-09-10 00:00:00
21692BR,US,Sumter,Tires,70310,Accountant -  Fixed Assets,PLT Repl. The Americas,207. Accounting Supervisor (R),SG11,Fix,Closed,-90161893,2015-07-06,2015-07-06,2016-11-23,119.0,484,2017-02-28,,2017-02-28,1,0,External,Position with experience,2015-10-21,2016-08-25 00:00:00,Sg 9-10
22244BR,US,Charlotte/Fort Mill,Headquarters,HQ Conti C,Senior Consultant for CBC Operations NAFTA,Finance Controlling & Law (FCL),Senior Consultant for CBC Operations NAFTA,Grade 11,Fix,Closed,-90352286,2015-07-16,2015-07-16,2016-09-30,128.0,443,2017-02-06,,2016-10-10,1,0,External,Position with experience,2015-10-21,2016-12-01 00:00:00,11
23711BR,US,Sumter,Tires,,,,,,Variable,Closed,-90161893,2014-09-25,2017-06-07,2017-06-07,638.0,0,2017-06-07,,2017-06-07,1,0,Referral,Manufacturing,2015-09-08,00:00:00,hourly
24780BR,US,Newport News,Powertrain,214­K052,Test Engineer,Engine Systems,Test Engineer,TBD,Fix,Closed,-90285119,2015-08-31,2015-08-31,2016-03-09,315.0,287,2017-05-18,2015-09-18,,1,0,External,Position with experience,2016-07-07,2015-09-11 00:00:00,10
24780BR,US,Newport News,Powertrain,214­K052,Test Engineer,Engine Systems,Test Engineer,TBD,Fix,Closed,-90285119,2015-08-31,2015-08-31,2017-05-18,315.0,287,2017-05-18,2015-09-18,2017-05-18,1,0,Internal,Position with experience,2016-07-07,2015-09-11 00:00:00,10
2625BR,US,Uvalde,Tires,99511,Maintenance Senior Tech/ Project Manager,Research & Development (R&D),Maint. Senior Tech/ Project Mgr.,9 Exemp,Fix,Closed,-90285119,2014-05-23,2014-06-04,2015-10-30,,966,2017-01-25,,2017-01-25,1,0,Manual,Position with experience,,2014-06-04 00:00:00,9 Exempt
