Personnel No.,Entry,Action type,Personnel Subarea,Personnel Area,Chngd on,Reason for action,Leaving date,Cost Ctr,Cost Center,Functional Area,Gender Key,Birth date,Job
60000028,2007-10-11,30 Termination,Valdosta,US-GA-Valdosta-Best Drive,2017-05-01,V0 Resignation unknown/Other,2017-04-21,98653,BD Hill Valdosta Ret,,Male,1985-01-22,Retread Tech I
60000033,2013-05-29,30 Termination,"GA, Valdosta",US-All-Best Drive,2017-04-04,V3 Accepted other employment,2017-03-25,98653,BD Hill Valdosta Ret,,Male,1992-08-09,Retread Tech I
60000038,2010-04-01,30 Termination,"GA, Forest Park",US-All-Best Drive,2017-08-03,V3 Accepted other employment,2017-07-21,98651,BD Hill ForrestPa Re,,Male,1972-12-28,Retread Tech I
60000062,2015-06-17,30 Termination,Forest Park,US-GA-Forest Park-Best Drive,2017-09-25,V0 Resignation unknown/Other,2017-09-22,98051,BD Hill ForrestPa,,Male,1975-03-01,Service Tech II
60000068,2015-04-20,30 Termination,"GA, Forest Park",US-All-Best Drive,2017-06-05,V0 Resignation unknown/Other,2017-04-28,98054,BD Hill Birmingham S,,Male,1981-04-12,Commercial Sales Associate
60000078,2015-10-05,30 Termination,"GA, Forest Park",US-All-Best Drive,2017-04-12,T4 Higher pay same respons.,2017-04-07,98051,BD Hill ForrestPa,,Female,1978-01-19,Accounting Associate
60000080,2011-04-28,30 Termination,"GA, Forest Park",US-All-Best Drive,2017-08-14,V3 Accepted other employment,2017-08-04,98651,BD Hill ForrestPa Re,,Male,1960-08-11,Retail Operations Associate  I
60000083,2002-07-11,30 Termination,Forest Park,US-GA-Forest Park-Best Drive,2017-03-02,V0 Resignation unknown/Other,2017-02-10,98051,BD Hill ForrestPa,,Male,1964-11-25,Service Tech II
60000091,2010-12-22,30 Termination,Forest Park,US-GA-Forest Park-Best Drive,2017-03-14,V5 Job abandonment,2017-01-21,98651,BD Hill ForrestPa Re,,Male,1986-04-20,Retread Tech I
60000104,2012-07-30,30 Termination,Forest Park,US-GA-Forest Park-Best Drive,2017-09-20,V5 Job abandonment,2017-09-07,98651,BD Hill ForrestPa Re,,Male,1968-05-20,Retread Tech I
60000105,2005-03-07,30 Termination,"GA, Forest Park",US-All-Best Drive,2017-10-02,V2 Unable to return to work,2017-09-30,98051,BD Hill ForrestPa,,Female,1955-06-08,Retail AP/ AR Clerk
60000108,2015-12-16,30 Termination,Forest Park,US-GA-Forest Park-Best Drive,2017-09-11,T4 Higher pay same respons.,2017-09-02,98651,BD Hill ForrestPa Re,,Male,1963-06-16,Retread Tech I
60000111,2011-11-30,30 Termination,AH-S.PT-Holding,US-MI-AH-South-CAS,2017-04-03,V3 Accepted other employment,2017-03-31,205-P634,P FEM CTF Sales ABH,,Male,1970-10-03,Principal Staff Engineer
60000113,2014-06-02,30 Termination,AH-S.PT-Holding,US-MI-AH-South-CAS,2017-05-08,T5 End of intership,2017-05-12,205-P634,P FEM CTF Sales ABH,,Male,1996-08-26,Intern/Student Program - Non Technical
60000117,2016-01-11,30 Termination,Sumter,US-SC-Sumter-CTNA Prod,2017-01-20,V9 Job dissatisfaction,2017-01-20,71120,Controls & Drives,,Male,1993-02-28,Associate Electrical Engineer
60000128,2016-01-03,32 Termination external,Morganton,US-NC-Morganton-CAS Inc.,,V0 Resignation unknown/Other,2017-01-08,161159,Fin. Ably MK100 MOD9,PR,unknown,,Temporary / Contingent
60000130,2016-01-11,30 Termination,Sumter,US-SC-Sumter-CTNA Prod,2017-02-15,V3 Accepted other employment,2017-02-03,71020,RM Warehouse,,Male,1991-08-20,Material Handler SMT-002
60000147,2016-06-06,30 Termination,Mt Vernon,US-IL-Mount Vernon-CTNA Prod,2017-02-27,I4 Failed probation period,2017-02-24,12180,MV PII Trk Tire Bldg,,Male,1976-06-15,Tire Builder Operator MVN-222
