Personnel No.,Entry,Action type,Personnel Subarea,Personnel Area,Chngd on,Reason for action,Leaving date,Cost Ctr,Cost Center,Functional Area,Gender Key,Birth date,Job
60000028,10/11/2007,30 Termination,Valdosta,US-GA-Valdosta-Best Drive,5/1/2017,V0 Resignation unknown/Other,4/21/2017,98653,BD Hill Valdosta Ret,,Male,1/22/1985,Retread Tech I
60000033,5/29/2013,30 Termination,"GA, Valdosta",US-All-Best Drive,4/4/2017,V3 Accepted other employment,3/25/2017,98653,BD Hill Valdosta Ret,,Male,8/9/1992,Retread Tech I
60000038,4/1/2010,30 Termination,"GA, Forest Park",US-All-Best Drive,8/3/2017,V3 Accepted other employment,7/21/2017,98651,BD Hill ForrestPa Re,,Male,12/28/1972,Retread Tech I
60000062,6/17/2015,30 Termination,Forest Park,US-GA-Forest Park-Best Drive,9/25/2017,V0 Resignation unknown/Other,9/22/2017,98051,BD Hill ForrestPa,,Male,3/1/1975,Service Tech II
60000068,4/20/2015,30 Termination,"GA, Forest Park",US-All-Best Drive,6/5/2017,V0 Resignation unknown/Other,4/28/2017,98054,BD Hill Birmingham S,,Male,4/12/1981,Commercial Sales Associate
60000078,10/5/2015,30 Termination,"GA, Forest Park",US-All-Best Drive,4/12/2017,T4 Higher pay same respons.,4/7/2017,98051,BD Hill ForrestPa,,Female,1/19/1978,Accounting Associate
60000080,4/28/2011,30 Termination,"GA, Forest Park",US-All-Best Drive,8/14/2017,V3 Accepted other employment,8/4/2017,98651,BD Hill ForrestPa Re,,Male,8/11/1960,Retail Operations Associate  I
60000083,7/11/2002,30 Termination,Forest Park,US-GA-Forest Park-Best Drive,3/2/2017,V0 Resignation unknown/Other,2/10/2017,98051,BD Hill ForrestPa,,Male,11/25/1964,Service Tech II
60000091,12/22/2010,30 Termination,Forest Park,US-GA-Forest Park-Best Drive,3/14/2017,V5 Job abandonment,1/21/2017,98651,BD Hill ForrestPa Re,,Male,4/20/1986,Retread Tech I
60000104,7/30/2012,30 Termination,Forest Park,US-GA-Forest Park-Best Drive,9/20/2017,V5 Job abandonment,9/7/2017,98651,BD Hill ForrestPa Re,,Male,5/20/1968,Retread Tech I
60000105,3/7/2005,30 Termination,"GA, Forest Park",US-All-Best Drive,10/2/2017,V2 Unable to return to work,9/30/2017,98051,BD Hill ForrestPa,,Female,6/8/1955,Retail AP/ AR Clerk
60000108,12/16/2015,30 Termination,Forest Park,US-GA-Forest Park-Best Drive,9/11/2017,T4 Higher pay same respons.,9/2/2017,98651,BD Hill ForrestPa Re,,Male,6/16/1963,Retread Tech I
60000111,11/30/2011,30 Termination,AH-S.PT-Holding,US-MI-AH-South-CAS,4/3/2017,V3 Accepted other employment,3/31/2017,205-P634,P FEM CTF Sales ABH,,Male,10/3/1970,Principal Staff Engineer
60000113,6/2/2014,30 Termination,AH-S.PT-Holding,US-MI-AH-South-CAS,5/8/2017,T5 End of intership,5/12/2017,205-P634,P FEM CTF Sales ABH,,Male,8/26/1996,Intern/Student Program - Non Technical
60000117,1/11/2016,30 Termination,Sumter,US-SC-Sumter-CTNA Prod,1/20/2017,V9 Job dissatisfaction,1/20/2017,71120,Controls & Drives,,Male,2/28/1993,Associate Electrical Engineer
60000128,1/3/2016,32 Termination external,Morganton,US-NC-Morganton-CAS Inc.,,V0 Resignation unknown/Other,1/8/2017,161159,Fin. Ably MK100 MOD9,PR,unknown,,Temporary / Contingent
60000130,1/11/2016,30 Termination,Sumter,US-SC-Sumter-CTNA Prod,2/15/2017,V3 Accepted other employment,2/3/2017,71020,RM Warehouse,,Male,8/20/1991,Material Handler SMT-002
60000147,6/6/2016,30 Termination,Mt Vernon,US-IL-Mount Vernon-CTNA Prod,2/27/2017,I4 Failed probation period,2/24/2017,12180,MV PII Trk Tire Bldg,,Male,6/15/1976,Tire Builder Operator MVN-222
60000148,12/30/2015,30 Termination,Mt Vernon,US-IL-Mount Vernon-CTNA Prod,,VE End of assignment,2/15/2017,12250,MV Pass/LT F.F.,PR,Male,6/13/1991,
60000184,1/10/2017,30 Termination,Morganton,US-NC-Morganton-CAS Inc.,9/5/2017,V3 Accepted other employment,8/31/2017,161157,Fin. Ably MK25E MOD6,,Male,6/17/1995,Material Handler
60000191,1/15/2016,30 Termination,Newport News,US-VA-Newport News-C Auto Sys,5/18/2017,I5 Excessive absenteeism,5/15/2017,214-K058,GHPP,,Female,5/7/1990,Production Associate
60000202,5/9/2016,30 Termination,Mt Vernon,US-IL-Mount Vernon-CTNA Prod,2/21/2017,T2 Family issues,2/20/2017,22060,MV CF Tire Assem PLT,,Male,1/13/1993,Tire Builder Operator MVN-222
60000207,7/11/2016,30 Termination,Mt Vernon,US-IL-Mount Vernon-CTNA Prod,3/14/2017,I2 Disciplinary action,3/12/2017,12030,MV Mixing,,Male,3/19/1991,Mixer Machine Operator MVN-217
60000209,7/11/2016,30 Termination,Mt Vernon,US-IL-Mount Vernon-CTNA Prod,8/1/2017,V8 Relocation,7/30/2017,12240,MV Pass/LT Curing,,Male,4/18/1995,Press Operator MVN-212
60000220,1/5/2011,30 Termination,Sumter,US-SC-Sumter-CTNA Prod,4/3/2017,I5 Excessive absenteeism,3/26/2017,80660,Tire Building,,Female,10/17/1974,Tire Builder Operator SMT-004
60000222,1/11/2016,30 Termination,Mt Vernon,US-IL-Mount Vernon-CTNA Prod,2/8/2017,I3 Performance,2/7/2017,12910,MV Industrial Eng,,Male,10/22/1986,Manager Industrial Engineering
